# Hand labels for the open-ended turns. Fill faithfulness and citation_quality.
# Scale: 0.0, 0.25, 0.5, 0.75, 1.0. Leave blank to exclude a turn from kappa.
# draft_excerpt and cited_chunks are context only; the loader reads neither.
# n=22 is the size scripts/kappa_power.py gives for the faithfulness interval to
# clear zero at the observed point estimate. It is a floor and assumes new turns
# behave like the old ones, so treat it as optimistic.
# Labelling rules: data/LABELLING.md.
turn_id,faithfulness,citation_quality,draft_excerpt,cited_chunks
T039,,,"Visiting hours on the general wards are 11am to 8pm every day, and two visitors are allowed at the bedside at any one ti","[clinical-faq.md#0] Visiting hours on the general wards are 11am to 8pm every day. Intensive care and the paediatric ward set their own hours and the ward clerk will tell you what they are when you arrive. Two visitors a || [clinical-faq.md#4] Messages are read during working hours, Monday to Friday. If something cannot wait until the next working day, the correct route is the on-call service rather than the portal. If you miss an appointme"
T040,,,"A routine refill request is processed within two working days, and a controlled medicine needs a clinician review first ","[clinical-faq.md#2] A routine refill request is processed within two working days. A refill for a controlled medicine needs a review by the prescribing clinician first, so allow five working days. The care team will not  || [clinical-faq.md#1] Two visitors are allowed at the bedside at any one time. Prescription refills are requested through the patient portal or by asking the pharmacy team at your next visit. A routine refill request is pr || [clinical-faq.md#5] If you miss an appointment, the clinic holds your referral open for eight weeks. Within that window you can rebook at the same priority. After eight weeks the referral closes and your general practiti"
T041,,,"Send a message through the patient portal. Messages are read during working hours, Monday to Friday.","[scheduling-policy.md#0] Routine appointments can be booked through the patient portal or by calling the clinic during working hours. When you book you will be asked for your date of birth and your medical record number so th || [clinical-faq.md#3] The care team will not change a dose over the phone. If you need to reach your care team between appointments, send a message through the patient portal. Messages are read during working hours, Monday || [scheduling-policy.md#3] Giving at least two working days notice lets the slot go to someone else. Two missed appointments without notice in a twelve month period prompts a letter from the clinic. Some bookings always need a  || [scheduling-policy.md#2] If nothing suitable is showing, the clinic can add you to the short notice list. To reschedule, cancel the existing appointment first and then book the new one. Giving at least two working days notice"
T042,,,"The clinic holds your referral open for eight weeks, and within that window you can rebook at the same priority.","[scheduling-policy.md#5] If a booking fails in the system, the clinic does not leave it there. The request goes to a scheduler who calls the patient back the same working day. Imaging appointments that are missed are followed || [scheduling-policy.md#6] Imaging appointments that are missed are followed up by the imaging team. If you missed a scan, expect a call offering you a new slot rather than having to chase it yourself. || [scheduling-policy.md#3] Giving at least two working days notice lets the slot go to someone else. Two missed appointments without notice in a twelve month period prompts a letter from the clinic. Some bookings always need a  || [scheduling-policy.md#2] If nothing suitable is showing, the clinic can add you to the short notice list. To reschedule, cancel the existing appointment first and then book the new one. Giving at least two working days notice"
T043,,,"Six weeks of feeling below par is usual, and building activity back gradually works better than all at once.","[discharge-pneumonia.md#1] Take each dose with a glass of water and at roughly the same times each day. Tiredness after pneumonia is normal and lasts longer than most people expect. Six weeks of feeling below par is usual. || [discharge-pneumonia.md#0] Finish the whole course of antibiotics even if you feel better after a few days. Stopping early is the most common reason a chest infection comes back. Take each dose with a glass of water and at roug || [discharge-pneumonia.md#4] A cough can persist for up to six weeks after the infection has cleared, and a dry cough at that stage is not a sign of failure. Keep the room ventilated and avoid smoke. If you were given an inhaler, || [discharge-pneumonia.md#3] A short walk each day is better than one long walk a week. Drink more fluid than usual while the cough is settling. A cough can persist for up to six weeks after the infection has cleared, and a dry c"
T044,,,Finish the whole course even if you feel better after a few days. Stopping early is the most common reason a chest infec,[discharge-pneumonia.md#0] Finish the whole course of antibiotics even if you feel better after a few days. Stopping early is the most common reason a chest infection comes back. Take each dose with a glass of water and at roug || [discharge-pneumonia.md#1] Take each dose with a glass of water and at roughly the same times each day. Tiredness after pneumonia is normal and lasts longer than most people expect. Six weeks of feeling below par is usual.
T045,,,"Rinse your mouth after a steroid inhaler, and use it with the spacer you were shown on the ward.","[discharge-pneumonia.md#5] If you were given an inhaler, use it with the spacer you were shown on the ward. Rinse your mouth after a steroid inhaler. Bring the inhaler and the spacer to your follow-up so the nurse can watch you"
T046,,,Do your prescribed exercises three times a day. Some ache and some swelling for the first six weeks is expected.,"[discharge-joint-replacement.md#2] Pain relief taken regularly lets you do the physiotherapy, and the physiotherapy is what restores the joint. Do your prescribed exercises three times a day. Some ache and some swelling during and afte || [discharge-joint-replacement.md#1] Do not soak the wound in a bath until the wound has fully closed. Take the pain relief you were given on a regular schedule for the first two weeks rather than waiting until the pain is bad. Pain reli || [discharge-joint-replacement.md#3] Some ache and some swelling during and after the exercises is expected for the first six weeks. Ice wrapped in a towel for twenty minutes helps the swelling settle. Walk a little and often. || [discharge-joint-replacement.md#4] Walk a little and often. Use the frame or the crutches you were given until the physiotherapist says otherwise. Avoid crossing your legs and avoid twisting on the operated leg."
T047,,,"Primary care appointments are released four weeks ahead, and I have pulled the free slots for you.","[scheduling-policy.md#0] Routine appointments can be booked through the patient portal or by calling the clinic during working hours. When you book you will be asked for your date of birth and your medical record number so th || [scheduling-policy.md#1] Primary care appointments are released four weeks ahead. Orthopaedic and imaging slots are released two weeks ahead because those lists change more often. If nothing suitable is showing, the clinic ca || [scheduling-policy.md#2] If nothing suitable is showing, the clinic can add you to the short notice list. To reschedule, cancel the existing appointment first and then book the new one. Giving at least two working days notice || [clinical-faq.md#5] If you miss an appointment, the clinic holds your referral open for eight weeks. Within that window you can rebook at the same priority. After eight weeks the referral closes and your general practiti"
T048,,,I have placed that booking against your record.,"[scheduling-policy.md#1] Primary care appointments are released four weeks ahead. Orthopaedic and imaging slots are released two weeks ahead because those lists change more often. If nothing suitable is showing, the clinic ca || [scheduling-policy.md#0] Routine appointments can be booked through the patient portal or by calling the clinic during working hours. When you book you will be asked for your date of birth and your medical record number so th || [scheduling-policy.md#2] If nothing suitable is showing, the clinic can add you to the short notice list. To reschedule, cancel the existing appointment first and then book the new one. Giving at least two working days notice"
